Model,pub,C,D,N_epoch,Confidence,Training compute notes
Pleias 1.0 1.2B,2024-12-05,2.9770787e+22,,1.2,Confident,"6 FLOP / parameter / token * 1.2 * 10^9 parameters * 5 * 10^12 tokens = 3.6e+22 FLOP

989400000000000 FLOP / GPU / sec [bf16 assumed] * 192 GPUs * 5 days * 24 hour / day * 3600 sec / hour * 0.3 [assumed utilization] = 2.4619438e+22 FLOP

sqrt(3.6e+22*2.4619438e+22) = 2.9770787e+22 "
Hymba,2024-11-22,1.35e+22,1500.0,1.5,Confident,6 FLOP / token / parameter * 1.5 * 10^9 parameters * 1.5 * 10^12 tokens = 1.35e+22 FLOP
Qwen2.5-Coder (32B),2024-11-12,1.0725e+24,,32.5,Confident,"Assuming 1 epoch

6ND = 6*32.5 parameters *10^9*5.5*10^12 tokens = 1.0725e+24"
Hunyuan-Large,2024-11-06,3.49237e+24,7000.0,389.0,Confident,"52B activated parameters

6ND = 6*52*10^9*7*10^12 = 2.184 × 10^24

They also suggest more precise formula to calculate MoE compute budget:

9.59ND + 2.3 × 10^8D = 9.59*52*10^9*7*10^12 + 2.3 × 10^8 ×  7*10^12 = 3.49237×10^24

which seems closer to projected compute on Figure 3"
Aya Expanse 32B,2024-10-24,6.688684e+21,34.513333333,32.3,Likely,"'Likely' confidence for dataset size and epochs

34513333333*32300000000*6 = 6.688684e+21"
Aya Expanse 8B,2024-10-24,1.65664e+21,34.513333333,8.0,Likely,"'Likely' confidence for dataset size and epochs

34513333333*8000000000*6 = 1.65664e+21"
Granite 3.0 8B,2024-10-21,5.832e+23,12000.0,8.1,Confident,"6ND = 6 FLOP / parameter / token * 8.1*10^9 parameters * 12*10^12 tokens = 5.832e+23 FLOP

""All our Granite 3.0 models are trained using a
compute budget of 8.35 × 10^23 FLOPS.""

8.35 × 10^23 * 757.0 (model's power consumption) / (174.6+757.0+64.5+121.2) = 5.6573436e+23

hardware estimation:
832102 GPU-hours * 3600 sec / hour * 989500000000000 FLOP / GPU / sec * 0.3 [assumed utilization] = 8.8923412e+23"
Granite 3.0 2B,2024-10-21,1.8e+23,12000.0,2.5,Confident,"6ND = 6 FLOP / token / parameter * 2.5*10^9 parameters * 12*10^12 tokens = 1.8e+23 FLOP

""""All our Granite 3.0 models are trained using a
compute budget of 8.35 × 10^23 FLOPS.""

8.35 × 10^23 * 174.6 (model's power consumption) / (174.6+757.0+64.5+121.2) =1.304851e+23

hardware estimation:
192030 GPU-hours * 3600 sec / hour *989500000000000 FLOP / GPU / sec * 0.3 [assumed utilization] = 2.0521478e+23 FLOP"
RWKV-5 (Eagle) 7B,2024-09-26,4.983e+22,,7.52,Confident,"4.53×10^10 FLOPs per token (Table 11)

1100000000000 tokens *  4.53×10^10 FLOPs per token = 4.983e+22

1100000000000 tokens * 7*10^9 parameters * 6 = 4.62e+22"
RWKV-6 (Finch) 3B,2024-09-26,2.0944e+22,,3.1,Confident,"1.87×10^10 FLOPs per token (Table 11)

1120000000000 tokens*1.87×10^10 = 2.0944e+22

1120000000000 tokens *3*10^9 parameters *6 = 2.016e+22"
Llama 3.2 1B,2024-09-24,6.642e+22,9000.0,1.23,Confident,"6ND = 6*1230000000.00*9000000000000 = 6.642e+22

370000 hours * 3600 s * 133800000000000 FLOPS/s* 0.3 = 5.346648e+22"
Llama 3.2 3B,2024-09-24,1.7334e+23,9000.0,3.21,Confident,"6ND = 6*3210000000.00*9000000000000 = 1.7334e+23

460000 hours * 3600 s * 133800000000000 FLOPS/s* 0.3 = 6.647184e+22"
Telechat2-115B,2024-09-20,6.899999999999999e+24,10000.0,115.0,Confident,6ND: 6 * 115B * 10T = 6.9e24
Qwen2.5-72B,2024-09-19,7.8e+24,18000.0,72.7,Confident,"Training dataset size was 18 trillion

6ND = 6 * 72.7 billion parameters * 18 trillion tokens = 7.8e24"
Qwen2.5-3B,2024-09-19,3.3372e+23,,3.09,Confident,"Training dataset size was 18 trillion

6 FLOP/parameter/token * 3090000000 parameters * 18000000000000 tokens = 3.3372e+23 FLOP"
Qwen2.5-7B,2024-09-19,8.2188e+23,,7.61,Confident,"Training dataset size was 18 trillion

6ND = 6 * 7.61 billion parameters * 18 trillion tokens = 8.2188e+23"
Qwen2.5-1.5B,2024-09-19,1.6632e+23,,1.54,Confident,"Training dataset size was 18 trillion

6ND = 6 * 1.54B billion parameters * 18 trillion tokens = 1.6632e+23"
Qwen2.5-14B,2024-09-19,1.58760000000001e+24,,14.7,Confident,"Training dataset size was 18 trillion

6ND = 6 * 14.7 billion parameters * 18 trillion tokens = 1.59e24"
Qwen2-VL-72B,2024-09-18,6.048e+23,1400.0,72.0,Confident,6ND = 6 FLOP / token / parameter × 1.4×10^12 tokens × 7.2×10^10 parameters = 6.048e+23 FLOP
Qwen2-VL-2B,2024-09-18,1.68e+22,1400.0,2.0,Confident,6ND = 6 FLOP / parameter / token × 1.4×10^12 tokens × 2×10^9 parameters = 1.68e+22 FLOP
Qwen2-VL-7B,2024-09-18,6.72e+22,,8.0,Confident,6ND = 6 FLOP / parameter / token × 1.4×10^12 tokens × 8×10^9 parameters = 6.72e+22 FLOP
Qwen2.5-Coder (7B),2024-09-18,2.5113e+23,,7.61,Confident,6ND = 6 FLOP / token / parameter *7610000000 parameters *5.5T tokens =2.5113e+23 FLOP
Qwen2.5-Coder (1.5B),2024-09-18,5.082e+22,,1.54,Confident,6ND =  6*1540000000 parameters *5.5T tokens =5.082e+22
Qwen2.5-32B,2024-09-17,3.51e+24,18000.0,32.5,Confident,6 FLOP / parameter / token * 32.5B parameters * 18 trillion tokens = 3.51 × 10^24 FLOP
OLMoE,2024-09-03,5.1741608015e+22,,7.0,Confident,"""we pretrain OLMOE-1B-7B for 5.1 trillion tokens with 6.9B total parameters, of which only 1.3B are activated for each input token""
So 6 * 5.1T * 1.3B = 3.978e22

In appendix B: ""We pretrain OLMOE-1B-7B on 256 H100 GPUs for approximately 10 days ... For adaptation, we use 32 H100 GPUs for 33 hours to instruction tune and for another 14 hours to preference tune via DPO.""
Which would suggest 9.90e14 * (256*240 + 32*(33+14)) * 3600 * 0.3 = 6.730e22 including instruction/preference tuning

geometric mean: sqrt(3.978e22 * 6.730e22) = 5.174e22"
GLA Transformer 1.3B,2024-08-27,7.8e+20,100.0,1.3,Confident,6ND = 6*1300000000.00*100*10^9 = 7.8e+20
GLA Transformer 340M,2024-08-27,3.06e+19,15.0,0.34,Confident,6ND = 6*340*10^6*15*10^9 = 3.06e+19
Pharia-1-LLM-7B,2024-08-26,4.43e+23,,7.041544704,Confident,"reported by the authors: 2.75*10^23 + 1.68*10^23 = 4.43*10^23 FLOP

https://huggingface.co/Aleph-Alpha/Pharia-1-LLM-7B-control#compute--training-efficiency"
Falcon Mamba,2024-08-12,3.9391101e+23,5500.0,7.0,Confident,989400000000000 FLOP / GPU / sec [bf16 assumed] * 1440 hours [see training time notes] * 3600 sec / hour * 256 GPUs * 0.3 [assumed utilization] = 3.9391101e+23 FLOP
EXAONE 3.0,2024-08-07,4e+23,8000.0,7.82,Confident,"6ND = 6*7.8B parameters *8T tokens  = 3.744e+23 FLOP

""EXAONE language models were trained using Google Cloud Platform and a cluster powered by NVIDIA H100 GPUs and NVIDIA NeMo Framework. Then, they were optimized by NVIDIA TensorRT-LLM. The total amount of computation used for model training was about 4 × 1023 FLOPS"""
Mistral Large 2,2024-07-24,2.13e+25,,123.0,Likely,"Details are sparse, but we can hazard a guess based on evidence about the training cluster they may have used, the scale up in compute they likely would have used relative to Mistral Large 1, and from the model's MMLU score. Extended reasoning given here: https://docs.google.com/document/d/1I2ZWBLFMpRZYcdMMUfKAGZFJrOJpduNDS9ZeVFIHnd8/edit?usp=sharing"
Llama 3.1-405B,2024-07-23,3.8e+25,15600.0,405.0,Confident,"Stated in paper.

Also, 6 * 405B * 15.6T training tokens = 3.8e25"
Llama 3.1-70B,2024-07-23,7.929e+24,15000.0,70.0,Confident,"Huggingface page says 3.1-70B used 7.0M H100 hours and trained over 15T tokens. https://huggingface.co/meta-llama/Llama-3.1-70B
The paper also says that 3.1-405B got MFU of between 38-43%; presumably 70B was around the same or a bit higher. I'll assume utilization of 40%

6ND:
6 * 15T * 70B = 6.3e24 FLOPs

Hardware:
7M * 9.9e14 * 3600 * 0.4 = 9.98e24 FLOPs

Geometric mean: sqrt(6.3e24 * 9.98e24) = 7.929e24

Note that Llama 3-70B also said it used 15T tokens, but only 6.4M H100 hours. This suggests 3.1 might have used a bit more than 15T tokens.

Training compute upper bound: 7M H100-hours * 989 TFLOPS * 50% utilization = 1.25e25 FLOP"
Llama 3.1-8B,2024-07-23,1.224e+24,,8.0,Likely,"Huggingface page says 3.1-8B used 1.46M H100 hours and trained over 15T tokens. https://huggingface.co/meta-llama/Llama-3.1-70B
The paper also says that 3.1-405B got MFU of between 38-43%; presumably 8B was around the same or a bit higher. I'll assume utilization of 40%

6ND:
6 * 15T * 8B = 7.2e23 FLOPs

Hardware:
1.46M * 9.9e14 * 3600 * 0.4 = 2.08e24 FLOPs

Geometric mean: sqrt(7.2e23 * 2.08e24) = 1.224e24

Note that Llama 3-8B also said it used 15T tokens, but only 1.3M H100 hours. This suggests 3.1 might have used a bit more than 15T tokens."
DCLM 7B,2024-07-20,1.05e+23,2500.0,7.0,Confident,6 FLOP / parameter / token * 7 * 10^9 parameters * 2.5 * 10^12 tokens = 1.05e+23 FLOP
SmolLM-1.7B,2024-07-16,1.03e+22,,1.71,Confident,"""Therefore, we decided to train the 1.7B model on 1 trillion tokens"" (https://huggingface.co/blog/smollm#experiments). The model doesn't have any CNNs or RNNs (https://huggingface.co/blog/smollm#hyperparameters-choice), so I will approximate it to be dense. Then assuming the model saw 1 trillion tokens during training, the 6ND approximation yields
Training compute
= # of active parameters / forward pass * # of tokens * 6 FLOPs / token
= 1.71e9 parameters * 1e12 tokens * 6 FLOPs / token
~= 1.03e22 FLOPS

""We also instruction tuned the models using publicly available permissive instruction datasets. We trained all three models for one epoch on the permissive subset of the WebInstructSub dataset, combined with StarCoder2-Self-OSS-Instruct. Following this, we performed DPO (Direct Preference Optimization) for one epoch: using HelpSteer for the 135M and 1.7B models... We followed the training parameters from the Zephyr-Gemma recipe in the alignment handbook, but adjusted the SFT (Supervised Fine-Tuning) learning rate to 3e-4"" (https://huggingface.co/blog/smollm#evaluation)."
MAP-Neo,2024-07-10,1.89e+23,4500.0,7.0,Confident,6 FLOP / parameter / token * 7 * 10^9 parameters * 4.5 * 10^12 tokens = 1.89e+23 FLOP
Gemma 2 9B,2024-06-24,4.32e+23,8000.0,9.0,Confident,"""For the 9B model, we train on an 8x16x32 configuration of TPUv4, totaling 4096 chips""

6ND = 6 FLOP / token / parameter * 9000000000 parameters * 8000000000000 tokens = 4.32e+23 FLOP"
Gemma 2 27B,2024-06-24,2.106e+24,13000.0,27.0,Confident,"""For the 27B model, we train on an 8x24x32 configuration of
TPUv5p, totaling 6144 chips""

trained on 13T tokens

6ND = 6*27000000000*13000000000000=2.106e+24"
Gemma 2 2B,2024-06-24,3.12e+22,2000.0,2.6,Confident,"""For the 2.6B model, we train on a 2x16x16 configuration of TPUv5e, totaling 512 chips""

6ND = 6 FLOP / token / parameter * 2600000000 parameters * 2000000000000 tokens = 3.12e+22 FLOP"
JIUTIAN-139MoE,2024-06-15,4.3596131e+23,,38.8,Confident,"6 FLOP / parameter / token * 13 * 10^9 activated parameters * 5 * 10^12 tokens = 3.9e+23 FLOP

Nvidia A800 and Ascend 910B chips were used

(376000000000000 FLOP / sec / GPU + 312000000000000 FLOP / sec / GPU) * 0.5 [assuming A800/910B 50/50] * 1464 hours [see training time notes] * 3600 sec / hour * 896 GPUs * 0.3 [assumed utilization] = 4.8733913e+23 FLOP

sqrt(3.9e+23 * 4.8733913e+23) = 4.3596131e+23 FLOP"
Nemotron-4 340B,2024-06-14,1.7999999999999999e+25,9000.0,340.0,Confident,"9 trillion tokens for training
6 * 340B * 9T = 1.8E25

alternatively, can do a hardware estimate with a few extra steps:

According to the technical report, Nemotron-4 340B was trained using up to 6144 H100 GPUs. Helpfully, they also report the model FLOP utilization (MFU), which was 41-42% (Table 2). This is the ratio of the actual output of their GPUs, in FLOP used for training, relative to their theoretical max of 989 teraFLOP/s per GPU. 
Unfortunately, the report omits the last ingredient, which is the duration of the training run. However, in Table 2 they report some relevant data that we can use to infer the training time. 
Nemotron-4 was trained in several stages, but the largest stage used all 6144 GPUs with a batch size of 2304 and an iteration time (time per batch) of 8.0 seconds. This stage involved 7.6T tokens, so it makes up the majority of training. 
A batch size of 2304 means that each batch consists of 2304 sequences, and they report that the sequence length used for training was 4096 tokens. This means that each batch contained 4096 * 2304 = 9,437,184 tokens. 
So, during this stage, it took 8 seconds to train the model on 9.4m tokens. Extrapolating to the entire 9T token dataset, this implies the training run would have taken 7,659,574 seconds, or 89 days. (it actually took longer because they didn't use all their GPUs for the whole run) 
Multiplying 7,659,574 seconds by 41% MFU, 989 peak teraFLOP/s for each H100, and 6144 H100s, we get ~1.9e25 FLOP. This is very close to our first estimate. 
"
Mamba2-Hybrid,2024-06-12,1.8186e+23,,8.66,Likely,"6ND = 6*8660000000.00 parameters * 3500000000000 tokens = 1.8186 × 10^23

"
Qwen2-72B,2024-06-07,3.02e+24,7000.0,72.71,Confident,"72 billion params, 7 trillion tokens

6 * 72 billion * 7 trillion ~= 3.02e24"
Qwen2-7B,2024-06-07,2.9400000000001e+23,7000.0,7.0,Confident,"7 billion params, 7 trillion tokens

6 FLOP * 7 billion * 7 trillion ~= 2.94e23 FLOP"
Qwen2-57B-A14B,2024-06-07,3.7800000000001e+23,,57.0,Confident,"""For MoE models, 57B-A14B denotes that the model has 57B parameters in total and for each token 14B parameters are active"" (page 5)

C ~= 6 FLOP * 14e9 * 4.5e12 = 3.78e23"
Qwen2-1.5B,2024-06-07,6.3e+22,7000.0,1.5,Confident,6 FLOP / parameter / token * 1.5 * 10^9  parameters * 7 * 10^12 tokens = 6.3e+22 FLOP
Qwen2-0.5B,2024-06-07,3.6e+22,12000.0,0.5,Confident,6 FLOP/parameter/token * 500000000 parameters * 12000000000000 tokens = 3.6e+22 FLOP
MiniCPM-2.4B,2024-06-03,1.584e+22,,2.442057984,Confident,6 FLOP / parameter / token * 2.4*10^9 parameters * 1.1*10^12 tokens = 1.584e+22 FLOP
MiniCPM-1.2B,2024-06-03,7.92e+21,,1.247442432,Confident,6 FLOP / parameter / token * 1.2*10^9 parameters * 1.1*10^12 tokens = 7.92e+21 FLOP
"Mamba 2, 2.7B",2024-05-31,4.86e+21,,2.7,Confident,6ND = 6*2.7B*300B = 4.86×10^21
Granite 20B,2024-05-31,3.0000000000001e+23,2500.0,20.0,Confident,6*2500000000000*20000000000=3e+23
Nanbeige2-16B-Chat,2024-05-28,4.05e+23,,15.8,Confident,"The model has 15.8B parameters and was trained on 4.5T tokens during the training phrase (https://huggingface.co/Nanbeige/Nanbeige2-16B-Chat). It appears to be entirely transformer-based (https://huggingface.co/Nanbeige/Nanbeige2-16B-Chat/blob/main/modeling_nanbeige.py).

Assuming training was done for 1 epoch, the 6ND approximation yields
Training compute
= # of active parameters / forward pass * # of tokens * 6 FLOPS / token
= 1.5e10 parameters * 4.5e12 tokens * 6 FLOPS / token
= 4.05e23 FLOPS"
360Zhinao-7B,2024-05-22,1.428e+23,,7.0,Confident,6*3400000000000*7000000000=1.428e+23
Chameleon-34B,2024-05-16,1.6453571041e+24,,34.0,Confident,"GPU method:
Table 2 shows that 34B model pre-training uses 4282407 GPU-hours, trained across 3072 A100s.
3.12e14 * 4282407 * 3600 * 0.3 =  1.44e24

Parameter-token method:
Pre-training goes over 9.2T tokens, post-training only goes over 1.1B tokens (sum of tokens column in Table 3).
6 * 34B *  9.2T = 1.88e24

Geometric mean: sqrt(1.44e24 * 1.88e24) = 1.65e24"
FragLlama: Next-fragment prediction for molecular design,2024-05-16,3.3399700602e+23,4400.0,7.0,Confident,"GPU method:
Table 2 shows that 7B model pre-training uses 856481 GPU-hours, trained across 1024 A100s
3.12e14 * 856481 * 3600 * 0.3 =  2.89e23

Parameter-token method:
Pre-training goes over 9.2T tokens, post-training only goes over 1.1B tokens (sum of tokens column in Table 3)
6 * 7B *  9.2T = 3.86e23

Geometric mean: sqrt(2.89e23 * 3.86e23) = 3.34e23"
Yi-1.5-34B,2024-05-13,7.344e+23,,34.0,Confident,6 FLOP / parameter / token * 34*10^9 parameters * 3.6*10^12 tokens = 7.344e+23 FLOP
Yi-1.5-9B,2024-05-13,1.90728e+23,,8.83,Confident,6 FLOP / parameter / token * 8.83*10^9 parameters * 3.6*10^12 tokens = 1.90728e+23 FLOP
Fugaku-LLM,2024-05-10,2.9640000000001e+22,380.0,13.0,Confident,https://www.wolframalpha.com/input?i=6+FLOP+*+13+billion+*+380+billion
Falcon 2 11B,2024-05-09,3.6e+23,5500.0,11.0,Confident,"trained on 5.5T tokens

6 * 11B * 5.5T = 3.6e23"
OpenELM-1.1B,2024-05-02,1.0520327e+22,,1.08,Confident,"details from Table 4 and Table 9

6 FLOP / token / parameter * 1.08*10^9 parameters * 1.5*10^12 tokens = 9.72e+21 FLOP

312000000000000 FLOP / sec / GPU [bf16 assumed] * 128 GPUs * 11 days * 24 hours / day * 3600 sec / hour * 0.3 [assumed utilization] = 1.1386552e+22 FLOP

sqrt(9.72e+21*1.1386552e+22) = 1.0520327e+22"
OpenELM-3B,2024-05-02,3.417119e+22,,3.04,Confident,"details from Table 4 and Table 9

6 FLOP / token / parameter * 3.04*10^9 parameters * 1.5*10^12 tokens = 2.736e+22 FLOP

989500000000000 FLOP / sec / GPU [bf16 assumed] *  128 GPUs * 13 days * 24 hours / day * 3600 sec / hour * 0.3 [assumed utilization] = 4.2678006e+22 FLOP

sqrt(2.736e+22*4.2678006e+22) = 3.417119e+22"
OpenELM-450M,2024-05-02,6.3156568e+21,,0.45,Confident,"details from Table 4 and Table 9

6 FLOP / token / parameter * 0.45*10^9 parameters * 1.5*10^12 tokens = 4.05e+21 FLOP

989500000000000 FLOP / sec / GPU [bf16 assumed] * 128 GPUs * 3 days * 24 hours / day * 3600 sec / hour * 0.3 [assumed utilization] = 9.8487706e+21 FLOP

sqrt(4.05e+21*9.8487706e+21) = 6.3156568e+21"
OpenELM-270M,2024-05-02,2.7470309e+21,,0.27,Confident,"details from Table 4 and Table 9

6 FLOP / token / parameter * 0.27*10^9 parameters * 1.5*10^12 tokens = 2.43e+21 FLOP

312000000000000 FLOP / sec / GPU [bf16 assumed] * 128 GPUs * 3 days * 24 hours / day * 3600 sec / hour * 0.3 [assumed utilization]  = 3.1054234e+21 FLOP

sqrt(2.43e+21*3.1054234e+21) = 2.7470309e+21"
Multi-Token Prediction 7B,2024-04-30,3.841092e+23,,6.7,Likely,"""training all models reported in the paper required around 500K GPU hours of computation on hardware of type A100-80GB and H100.""
A100-80 GB peak FLOP/s [assumed fp16 precision]: 77970000000000
H100 peak FLOP/s [assumed SXM5 TensorCore]: 989000000000000
assuming 50/50 usage:

(77970000000000+989000000000000)*0.5*500000hours*3600s*0.3=2.880819e+23 for ALL models in the paper

assuming this model has taken around 40% of all used compute (https://docs.google.com/spreadsheets/d/1Yc-HAdYgn6e9SUIliMaQtvQscIsEZomLdXbWyYl_jfQ/edit?usp=sharing)

then it's assumed compute is 3.841092e+23 FLOPs"
phi-3-mini 3.8B,2024-04-23,7.524e+22,3300.0,3.8,Confident,"counting operations: 6×3.3×10^12 tokens ×3.8×10^9 parameters ≈7.524×10^22 FLOPS
hardware estimate: 7 days ×24 hours / day×3600 sec / hour *989,000,000,000,000 FLOP/s*512 GPUs*0.3 [assumed utilization]=9.187540992×10^22"
phi-3-medium 14B,2024-04-23,4.032e+23,4800.0,14.0,Likely,counting operations: 6×4.8×10^12 tokens × 14×10^9 parameters ≈ 4.032×10^23 FLOPS
phi-3-small 7.4B,2024-04-23,2.1312e+23,4800.0,7.4,Confident,6ND = 6 FLOP / parameter / token * 7.4B parameters * 4.8T tokens = 2.1312e+23 FLOP
phi-3.5-mini,2024-04-23,3.7101154e+22,,3.8,Confident,"6ND = 6*3800000000.00 parameters *3400000000000 tokens  = 7.752e+22

512 GPUs *133800000000000 FLOP/s *240 hours *3600 sec/hour *0.3 [assumed utilization] = 1.7756652e+22

geometric mean sqrt (7.752e+22*1.7756652e+22) = 3.7101154e+22"
Llama 3-70B,2024-04-18,7.861e+24,15000.0,70.0,Confident,"Arithmetic calculation:
6 * 15T tokens * 70B parameters = 6.3e24

GPU calculation:
https://huggingface.co/meta-llama/Meta-Llama-3-70B indicates training took 6.4M GPU-hours
We also know their larger scale training runs for 405B were getting between 0.38-0.41 MFU. Presumably the 70B model gets at least 0.43 utilization (405B has to be split across two nodes, while 70B should fit on one).
990 TFLOPS per GPU * 6.4 million GPU hours * 3600s * 0.43 = 9.808e24

Geometric mean: sqrt(6.3e24 * 9.808e24) = 7.861e24"
Llama 3-8B,2024-04-18,7.2e+23,15000.0,8.0,Confident,"Counting operations
15000000000000 tokens*8000000000.00 parameters*6 FLOP / token / parameter = 7.2×10^23 FLOP

GPU calculation
400 TFLOPS per GPU * 1.3M GPU hours * 3600s=1.872×10^24 
(it is not confident that 400 TFLOPs applies to the Llama 3-8B training run)"
FRED-T5-XL,2024-04-18,2.5264222803e+22,80.0,1.74,Confident,"6 FLOP / token / parameter * 1500000000000 tokens * 1740000000 parameters = 1.566e+22 FLOP
or
312000000000000 FLOPs/s/GPU * 112 GPUs * 45 days * 24 h * 3600 s * 0.3  = 4.076e22 FLOP
geometric mean: 2.5e22"
Stable LM 2 12B,2024-04-08,2.91e+23,2000.0,12.14360576,Confident,"2* 12143605760 params * 3* 2T tokens * 2 epochs = 2.91e23. 
Trained on 384 H100s (AWS P5 instances)."
Viking,2024-04-04,2.574e+23,2000.0,33.0,Confident,"Plan is to train on 2 trillion tokens, but most recent release is at 1.3T
6 * 33B * 1.3 trillion = 2.574E23"
TeleChat-7B,2024-04-01,4.2e+22,,7.0,Confident,"80 nodes, each having 8 Nvidia A100 Sxm 40GB GPUs

6 FLOP / token / parameter * 7*10^9 parameters * 1 * 10^12 tokens = 4.2e+22 FLOP"
TeleChat-12B,2024-04-01,8.64e+22,,12.0,Confident,"80 nodes, each having 8 Nvidia A100 Sxm 40GB GPUs

6 FLOP / token / parameter * 12*10^9 parameters * 1.2 * 10^12 tokens = 8.64e+22 FLOP"
StarCoder 2 15B,2024-02-29,3.87e+23,913.23,15.0,Confident,estimation is given in Table 6 
StarCoder 2 7B,2024-02-29,1.55e+23,658.58,7.0,Confident,estimation is given in Table 6 
StarCoder 2 3B,2024-02-29,5.94e+22,622.09,3.0,Confident,estimation is given in Table 6 
Gemma 1.1 7B Instruct,2024-02-24,3.0744e+23,6000.0,8.54,Confident,6ND = 6*6000000000000*8540000000=3.0744e+23
